FEN
6R1/3b4/5k1P/8/4Bp2/5P2/6K1/8 b - - 0 57,h5h6
r1b5/p1p3p1/1pQ4p/8/4R1k1/2P3P1/PP3P1P/2K5 b - - 2 26,e1e4
r4rk1/p4ppp/3pp3/3p3q/3P1B2/5N1P/PP3PP1/R2Q2K1 b - - 1 21,d2f4
5K2/3PQ3/2q3pk/7p/p6P/6P1/8/8 b - - 1 63,e8f8
rnbq1rk1/pppn1pbp/3p2p1/4P3/2P5/1P3NP1/PB2PPBP/RN1QK2R b KQ - 2 8,g1f3
r1b2rk1/pp2npbp/1q4p1/3p4/3pPP2/3P2N1/PPB3PP/R1BQ1RK1 b - - 1 14,e2g3
rr4k1/5ppp/b1p5/p3PR2/2pPN3/2P1Q3/PqN3PP/R5K1 b - - 0 22,d2e3
1r4k1/p4p1p/B1Q3p1/1P2q3/4p3/4P2P/5PP1/5RK1 b - - 0 32,b4b5
r3r3/1p3ppp/p2k1n2/5B2/2p1N3/5P2/PP2Q1PP/2K5 b - - 0 31,c3e4
4B3/8/2kp1p2/3RpP2/1pP1P2p/1Pb4P/r5P1/2K5 b - - 1 49,h5e8
5rk1/p1pbPp1n/3p4/6pp/1PP4N/3PP3/P1qB1QBP/5RK1 b - - 0 33,f6e7
q5k1/2p2r1p/p1b1Rnp1/1p3p2/5P2/P1N4P/1PP2QP1/4R1K1 w - - 5 27,h5f6
1r3r1k/3qbp1p/p1npb3/1p1Np3/4P3/2P1N1P1/PP4BP/R2Q1R1K b - - 0 19,f3e4
8/4kp2/1B4p1/8/8/1K4P1/7P/2b5 w - - 1 37,e8e7
4rr1k/p2qn2p/2bp1pp1/2p5/1p2PN2/5NQ1/PPP3PP/4RRK1 w - - 2 20,g7h8
r3k2r/p4p1p/2p2p2/q2pp3/2B1P1b1/2P3Q1/P1P2PPP/R3K2R w KQkq - 0 13,g7f6
r1b1k2r/1pq2pbp/p3p1p1/P1p5/2P1NP2/2P2n2/1P4PP/R1BQK2R w KQkq - 0 15,d4f3
r6r/4nk1P/4N2R/q1pPppB1/p1Pp2p1/3P4/1P3P2/R6K b - - 5 47,c1g5
5rk1/1b3pb1/pQ2p1p1/8/P1B2P1p/2PP2n1/1PKB3q/4R1R1 b - - 3 26,e3b6
1r1q1rk1/3b3p/p2p2pb/nppPpp1n/2P5/1PNQP1P1/PB1N1PBP/1R1R2K1 w - - 1 17,c8d7
8/p6R/5k2/2r5/5p2/P6P/6P1/7K w - - 0 59,c4c5
r3k1nr/pp2p1bp/1qn3p1/4P1N1/3P2Q1/8/PP4PP/RNB1K2R b KQ - 0 12,d1g4
8/8/3p4/p1k5/2P5/1P6/P6r/1K2R3 b - - 1 46,e7e1
r3r1k1/3n1Rbp/p2qn1p1/1p2p3/2p1P3/NNPPB1P1/PP3Q1P/3R3K w - - 0 22,c5c4
r2q1rk1/1p2bppp/p1npbn2/8/4PB2/1NN5/PPP1B1PP/R2Q1R1K w - - 1 12,b8c6
r2r2k1/pp3pp1/3pb2p/4q3/3RPp1Q/1P6/P1P1B1PP/1K1R4 w - - 1 21,a5e5
8/1rB5/1P2k3/5p2/3K1P1p/7P/8/8 w - - 2 61,e7e6
1r4k1/2qnbpp1/3p3p/3Qp3/2P3PP/pP2BP2/P3N3/1K5R b - - 2 25,b5d5
rnb2rk1/1p2ppbp/p2p1np1/q1pP2B1/2P1P3/2N5/PP2BPPP/R1Q1K1NR w KQ - 2 9,d8a5
rnbq1rk1/pp2nppp/4p3/1NppP3/3P4/8/PPPQ1PPP/R3KBNR w KQ - 1 8,e8g8
r4r1k/ppn1q1b1/2p1bn1p/2P1p3/1PB1Ppp1/1N3P2/PNQ2BPP/3R1RK1 w - - 0 21,g5g4
6r1/ppk2p2/4p3/4P3/1N5n/2P5/PP5P/4R1K1 w - - 0 35,h8g8
2r1k3/5p1p/p3p3/3q4/b1nB1P2/1P1B1N2/K1P3PP/7R w - - 0 25,b5a4
3r4/pR6/1n4p1/2Pk2P1/1P1N4/4K2P/8/8 w - - 1 42,d6d5
2r2rk1/1ppq3p/3pbbp1/4np2/1PP1pN2/3PP1P1/1B3PBP/1R1Q1RK1 w - - 0 17,g7f6
r1b2rk1/ppp2ppp/2np1qn1/8/1PNPPP2/4B3/P3B1PP/R2Q1RK1 b - - 0 14,c3d4
4r2k/4B1p1/p5P1/1p2pr2/8/2P5/P1P2PK1/3R4 w - - 2 35,a8e8
8/1R6/p2r1kp1/8/1P4pP/6K1/P7/8 b - - 1 38,g2g3
7r/2k5/1p2p2r/p2p2Rb/P1pP1pB1/2P2K2/2P2PP1/R7 w - - 0 40,e8h5
r3kbr1/ppq2p1p/3ppQ2/3b2N1/4P3/2N5/PPP2PPP/2K4R w q - 2 14,a5c7
r4rk1/p1pq1ppp/1p6/n7/3P4/5N1P/PPQ2PP1/2RR2K1 b - - 3 18,b3c2
r7/1p2qpkp/p2b2n1/3Pp3/4NpP1/P2Q4/1P3P1R/2R4K b - - 4 31,g2h2
r4rk1/1p2qppp/p2p2n1/8/P2QP1b1/2N5/1PP3PP/R4RBK w - - 0 21,e6g4
rn5r/pp1kpPbp/3p2p1/q1p5/3P1Pn1/2N2N2/PPP3PP/R1BQK2R b KQ - 2 11,b5c3
4k3/8/4PK1p/8/5P2/Bp2n3/7P/8 w - - 4 77,d8e8
2r2rk1/pb1q2p1/1p2pp1p/3nB3/3P4/3Q4/PP2BPPP/2RR2K1 w - - 0 19,f7f6
r1b1k1nr/ppp2ppp/2p3q1/8/3QP3/2N1P3/PPP3PP/R3KB1R b KQkq - 3 9,b1c3
8/4npkp/6p1/4p3/8/5PPP/5K2/R7 b - - 13 46,a6a1
2b1q3/4r2k/8/pp1p1p1p/3p3Q/2P3P1/PP3R1P/6K1 w - - 0 44,e5d4
r3k2r/2q1bp1p/p1bppp2/5P2/1p2P1P1/1BN2Q2/PPP4P/2KR3R w kq - 0 16,b5b4
2kr3r/ppqb4/2n1p1pp/3pPp2/3P1Q1P/2PB1N2/P2K1PP1/RR6 w - f6 0 17,f7f5
r1bq1rk1/1p3pbp/p2p2p1/3N3n/P3P3/1NP5/1P3QPP/R1B2R1K b - - 0 19,c2c3
r1bq1rk1/pp2nppp/2n1p3/1N1pP3/3p1P2/2P5/PP1Q2PP/R3KBNR w KQ - 0 10,c5d4
r1b1kb1r/2q2pR1/p2ppP2/2n4p/1p1NP3/2N2Q2/PPP4P/2KR1B2 w kq - 0 18,b5b4
rnb2rk1/4p2p/p3p1p1/b1P5/N1B5/4B3/4KPPP/1R5R b - - 3 21,d1b1
r2qnrk1/pp1bppbp/3p2p1/1Pp5/4PP1Q/2NP1N2/1PP3PP/R1B2RK1 w - - 5 12,f6e8
r2r2k1/5ppp/pqb1p3/3pP3/1b1N1P2/2NPQ3/1PR3PP/1K5R w - - 4 23,b7c6
rn2kb1r/pp3p2/1q2p1p1/3pPn1p/3p1PP1/2P2B1P/PP1Q1B2/R2NK2R b KQkq - 0 15,g2g4
rnbq1k1r/ppp2p1p/5bp1/3p2N1/3P1Q1P/2N5/PP2PPP1/R3KB1R b KQ - 0 11,h2h4
2k5/p7/1p4p1/4Q2p/2P1R3/1PK3P1/P3r2P/4q3 w - - 5 50,d2e2
6k1/5r1p/p2b1r2/1p1P2p1/4P3/1P1B2P1/P3R1KP/3R4 b - - 0 42,b1d3
1r3rk1/3q1ppp/2npb3/1p1Np1bP/4P3/2PBNQ2/1P3PP1/R3K2R b KQ - 2 19,d1f3
2krr3/ppq1p2p/1np2pp1/8/1PPP1PbP/P1Q1PN1B/8/2KR3R b - - 2 22,f1h3
r4rk1/1ppbq1bn/n2p4/p2Ppp2/2P2P1p/2N1BN2/PP2B1PP/R2Q1RK1 w - - 6 17,c8d7
r2q1rk1/4bppp/1n1p4/p2Pp1Pn/1p6/1N2BP1B/PPPQ3P/1K1R3R w - - 3 17,d7b6
r1bq1rk1/ppp1nnbp/3p2p1/3Ppp2/2P1P3/2N1B2P/PP1NBPP1/R2QK2R w KQ - 0 14,f6f5
r1q1k2r/pp2bppp/2n1pn2/3p4/3P1Bb1/1QPB1N2/PP1N1PPP/R4RK1 b kq - 3 10,e1g1
r3k2r/pp3p2/q1p1n1pb/3pPp1p/3P1P1P/5P1N/PPPQ1B2/1K1R3R b kq - 3 18,g1h3
8/7p/2q3pk/Q2p4/3r4/8/P4PPP/4R1K1 w - - 1 41,c4d4
8/8/1P1n1k2/6R1/6PP/8/1r6/6K1 b - - 0 47,b5b6
2kr3r/1n1n4/p3p2p/1p1p2p1/PP4P1/2N2B2/2P4P/R4RK1 b - - 0 27,a3a4
