FEN,Evaluation
3r1rk1/pp1nqppp/2pbpn2/3p4/2PP4/1PNQPN2/PB3PPP/3RR1K1 b - - 8 12,23
rnbqkb1r/pppppppp/8/3nP3/8/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3,55
6rr/p2q1k2/1pn1bp2/3p1p1p/2pP1N1P/P1P1BQ2/2P2PP1/3RR1K1 b - - 1 21,130
r2q1rk1/pbpN1p1p/1p2p1p1/8/2PP4/3Q4/PPB2PPP/R4RK1 b - - 0 16,20
r2q1rk1/3bbppp/3p4/3P4/3Q4/2N5/PP3PPP/R3KB1R b KQ - 2 16,-63
rnbq1rk1/pp3ppp/2pb4/3p4/2PP4/2nB1N2/PP3PPP/R1BQ1RK1 w - - 0 10,7
rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,27
8/4b2p/pBr1k1p1/PbP1p3/4Pp2/5PP1/1NR2K1P/8 w - - 0 38,65
8/p4p1p/3p4/1p3kp1/2pP4/2P1KP2/PP3P1P/8 b - - 6 27,-156
3r1r1k/ppp1qBb1/7p/4pRp1/1P2P3/1QP2R1P/P4P2/6K1 b - - 2 27,70
4rrk1/ppp4p/2q1b3/3p1n2/4p1B1/2P5/PP1NQPPP/3R1R1K b - - 3 20,-30
4r3/2Q2pkp/6p1/4P1P1/p3q2P/N7/PPPKn3/3R4 b - - 4 32,-429
r2q1rk1/1p1bbppp/2n1p3/2n1P3/p1BN1P2/4BN2/PP4PP/R2Q1RK1 w - - 0 15,12
2rk1b1r/pp3ppp/8/4p3/3BP3/N5P1/Pn3P1P/R2B1K1R b - - 0 16,-111
rnbqk1nr/pppp1ppp/8/3Np3/1bP5/8/PP1PPPPP/R1BQKBNR b KQkq - 3 3,30
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,37
r2qk2r/ppp1bpp1/2n1p3/2n1Pb2/3p1P1p/3P1N1P/PPP1B1P1/R1BQ1RKN w kq - 2 13,-15
r2q1rk1/pb1nbppp/1p1ppn2/8/2PpP3/2N2NP1/PP3PBP/R1BQR1K1 w - - 0 11,12
5rk1/pb1n1ppp/1pq1rn2/4p1B1/4P2Q/3B3P/P1PN1RPK/5R2 w - - 10 22,17
r2qkb1r/pp1n1pp1/2p1p1np/3pPb2/2PP4/1PN2N2/P3BPPP/R1BQ1RK1 b kq - 2 9,35
2r4r/3qppk1/3p1bp1/1p6/1P1P4/4P2P/4QPB1/1RR3K1 b - - 0 31,-16
r2qkb1r/pp1n1ppp/2n1p3/2ppPb2/3P4/2P1BN2/PP2BPPP/RN1Q1RK1 w kq - 3 9,-10
2rr4/2p2nkp/p4pp1/P1bPp3/1p2P1N1/1P5P/2BR1PP1/3R3K w - - 1 35,4
rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,36
5k2/5pp1/B3pnp1/2R5/3P4/1r2K1PP/5P2/8 w - - 24 44,-10
6k1/p2B3p/1p1n2p1/3pp1P1/1P1N3P/P3P3/5K2/8 b - - 0 33,39
rnbqkb1r/pp3ppp/3ppn2/8/3NP3/3BB3/PPP2PPP/RN1QK2R b KQkq - 1 6,49
rnbq1rk1/p3bppp/1p3n2/2pp4/3P4/2NBPN2/PPQ2PPP/R1B1K2R w KQ - 0 9,-14
6k1/1r1pb3/2n1p1p1/2p1P3/2Q2P2/q1B2N2/6P1/3R2K1 w - - 0 28,-30
6k1/2r2p1p/4pnp1/pR2N3/1p2PP2/5K2/PP3P1P/8 w - - 3 30,170
r3k2r/4npbp/p2p4/3Pp1q1/p7/3B4/1PN1QPPP/R4RK1 w kq - 0 19,128
1r1q1rk1/1p1bppbp/2np1np1/p1p5/2P5/P1N3P1/1PNPPPBP/1RBQ1RK1 w - - 8 11,-8
8/6p1/1N3b1p/8/1Pk1p2P/2P1BpP1/4bK2/8 b - - 7 57,-135
r4rk1/1p2qppp/2p1pn2/p3n2b/PbBPPB2/1QN1R3/1P3PPP/R5K1 w - - 0 15,-14
r1b1kbnr/pp3ppp/2n5/3qp3/3P4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 7,66
6k1/1pp2rpp/4N1nr/3Pp3/8/5PPq/P3Q2P/R3R1K1 w - - 5 27,114
2rr2k1/p2qppbp/1pn3p1/2p5/Q2B4/2NP2P1/PP2PPBP/2RR2K1 b - - 0 17,-7
r1bq1rk1/pp2ppbp/2np1np1/8/2PNP3/2N1B3/PP2BPPP/R2QK2R w KQ - 0 9,21
4b1k1/5p1p/3Q2p1/p2P2r1/4P3/6PP/1q6/1B3RK1 w - - 0 44,0
r1b2rk1/pp3pbp/2n3p1/q2Nn1B1/3pP1P1/1N1B1P2/PP5P/R2Q1RK1 b - - 3 17,127
B7/7p/6k1/8/R5p1/1P2P1Pb/P2r1P1K/8 w - - 5 34,382
2r5/Qp2qpk1/p1p3p1/4p2p/PP2P2P/2PR2P1/5PK1/8 w - - 2 31,55
8/4bpk1/4p2p/6p1/r3NP2/5KP1/4R2P/8 b - - 3 37,-104
7R/8/PP6/2K3k1/7p/5p2/8/r7 b - - 0 57,21
r3kb1r/1bqn1ppp/3ppn2/p7/1p1NPP2/3B4/PPPBQNPP/R4RK1 b kq - 1 14,28
2r1qrk1/pbpn1pp1/2P2n1p/8/8/P1QpPPB1/1P4PP/R3K1NR w KQ - 0 18,-59
r2q1rk1/pbpp1ppp/1pn1pn2/6B1/1bPP4/2NBP2Q/PP3PPP/R3K1NR b KQ - 5 8,94
3q3k/p5pp/1p3p2/8/2Q1PP2/P1P5/6PP/2n3K1 b - - 0 29,-355
5r1k/pb1r2bp/6pB/3q1p2/3pp3/1P1N1P2/P1PQ2PP/3RR1K1 w - - 0 26,-39
8/pp5p/8/8/P2kPp2/1P3P1P/3K4/8 b - - 0 39,252
2r5/4kpp1/6p1/p3P2r/1pP5/1P6/P5PP/3RR1K1 b - - 3 29,83
2b1r1k1/5p1p/pq3bp1/1pQN4/1Pn1B3/5N2/P4PPP/3R2K1 b - - 4 24,31
r3k1nr/pp1q1ppp/3bp3/3p4/3P4/1QN2PP1/PP3P1P/R1B1R1K1 b kq - 3 12,-3
r5k1/p3p2p/3np1p1/2R4n/4P3/6P1/PP3P1P/2R3K1 b - - 0 21,37
r3kb1r/1b1n1ppp/pqp1pn2/1p6/P2P4/2N2NP1/1PQ1PPBP/R1B2RK1 b kq - 0 11,77
r1nb1rk1/6pp/p1qp1p2/3PpP2/4P3/3B4/P2Q1BPP/1R3RK1 b - - 0 21,174
r1r1n1k1/5qb1/p1Pp3p/1p1P2p1/1P2QpP1/N2B4/P2B1P1P/2R3K1 w - - 0 31,100
r1bqkb1r/pp2pppp/2np1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6,45
8/5p2/K7/P2pB1R1/2p1b3/1r6/4k3/8 w - - 7 53,-393
r2q1rk1/3n1pp1/p3bb1p/Pppp4/1P1P4/2NBPN1P/5PP1/R2Q1RK1 w - - 0 15,200
rnbqk2r/pp3ppp/4pn2/6B1/1bBpP3/2N2N2/PP3PPP/R2QK2R w KQkq - 0 8,29
r1bq1rk1/1p3ppp/p4n2/1BpP4/2P2B2/5Q2/PP3PP1/R3R1K1 w - - 2 17,198
4r2k/pp3rp1/2p4p/4nP2/3RP3/P1N4P/P5P1/3R2K1 b - - 0 25,90
6k1/5p2/3r2r1/8/P2Q3K/2P4P/1P5P/8 w - - 7 66,-47
2kr3r/pbpnq3/1p1p3p/6p1/2PPnp1P/2PQ1N2/P3PP2/R1B1KBR1 w Q - 1 17,-293
rn1qkb1r/ppp2ppp/2b1pn2/8/2QP4/6P1/PP2PPBP/RNB1K1NR w KQkq - 1 7,-9
r1q1r1k1/pp2pp1p/3p2p1/4n3/1PP1P3/4NP1P/PQ3P1K/3R1R2 w - - 5 23,-40
3b1B2/8/4k3/8/P7/4PK1p/1P6/8 b - - 1 47,196
1r2r1k1/1pqb1pb1/p2p4/P2P2Q1/4PP1B/1Pp1R3/6B1/1R4K1 b - - 1 31,57
8/1p4R1/2k5/P1P5/8/2KP3r/8/8 w - - 3 49,272
r2q1rk1/2p2ppp/p3b3/1p1pn3/3Nn3/1BP1Q3/PP3PPP/RN1R2K1 w - - 0 16,-24
3r2k1/7p/6p1/p4p2/2p5/2P1PN1P/5QPK/2q5 w - - 0 32,-214
