r4rk1/3bppb1/p3q1p1/1p1p3p/2pPn3/P1P1PN1P/1PB1QPPB/1R3RK1 b - -,-39
r4rk1/1Qpbq1bp/p1n2np1/3p1p2/3P1P2/P1NBPN1P/1P1B2P1/R4RK1 b - -,-1
r4rk1/3p2pp/p7/1pq2p2/2n2P2/P2Q3P/2P1NRP1/R5K1 w - -,-136
2rqk1n1/p6p/1p1pp3/8/4P3/P1b5/R2N1PPP/3QR1K1 w - -,411
r3k2r/1p1nqp2/p2p2pp/2pP4/6QN/2N5/PPP2PPP/R1B3K1 w kq -,377
2rq1rk1/5pbp/p3p1p1/1p1PPn2/5P2/P1NQ2P1/1B5P/R4RK1 b - -,-69
1k2q2r/p1p1bpp1/1pn1p2p/4P2B/2P1b3/4BN2/PP2QPPP/3R2K1 b - -,-81
b7/2p2ppk/1p2p2p/p3P2P/P3pK2/1P2P3/1bP1BPP1/3R4 b - -,392
r1b1kb1r/pp4pp/2n1pn2/8/3N1B2/5N2/Pq2PPPP/R2QKB1R w KQkq -,39
r2q1rk1/1pnbbpp1/p1np3p/P1p1p3/4P3/1P1P1NP1/2PB1PBP/R2Q1RK1 w - -,-433
2r3k1/r4ppp/1q1bb3/8/3p3P/1P3B2/P2BQPP1/RR4K1 b - -,-139
8/8/4k1p1/2r5/2P1R1KP/4P3/5P2/8 b - -,310
3rk2r/pb2ppb1/1pp2npp/8/2P4B/2N3P1/PP2PPBP/2R2RK1 b k -,-46
r1b1kb1r/pp2pppp/1q3n2/3p4/PP6/2P2N2/3NPPPP/R2QKB1R b KQkq -,-176
r1b2rk1/1p2b1pp/p2qp3/P3np2/8/2PP2N1/5PPP/RBBQR1K1 b - -,-16
4r1k1/7p/pp2N3/2pR1p2/P1p5/2P4P/1P4P1/6K1 w - -,464
4n1k1/2p2pp1/2P4p/8/1N1p1P1P/Pp4P1/1P3P2/6K1 w - -,186
3rr1k1/1pp1bpp1/4q2p/nP1pP3/7P/1QPR1NB1/5PP1/3R2K1 w - -,68
r4rk1/ppqn2pp/2pb1n2/3pp3/8/3P2P1/PPPN1PBP/R1BQK2R w KQ -,-157
r1bqkb1r/1p2nppp/p1n5/2ppP3/8/2PB1N2/PP1P1PPP/R1BQ1RK1 b kq -,-398
2r2b2/2q3k1/2n1bppp/pB1p4/N2P4/4P3/PR3PP1/1Q3RK1 b - -,54
r1b2rk1/pp2bppp/8/1N1Pp3/2p1P3/PnN1q3/RPQ1B1PP/5RK1 w - -,-74
3rkb1r/2p2ppp/p4n2/1p2p3/2BnPP2/P1N1B3/1PP2P1P/R1K4R w k -,58
r3kb1r/1pp1nppp/2n5/1p2P3/4N1b1/4B1P1/PPP2P1P/R3K1NR w kq -,-433
r4rk1/pbpqbppn/1pn1p3/3p4/P1PP1B2/4PN2/1P1N1PPP/R2Q1RK1 b - -,-342
8/1p4k1/8/1n2P3/5P2/p2K4/5r2/R7 w - -,-400
r1bqk2r/pp1n1pp1/3bpn2/3p3p/3P3P/5NP1/PP1NPPB1/R1BQK2R b KQkq -,-67
2r5/1p1kb1p1/4pP2/pP1p2p1/1n1P4/1N2B3/1P3PPP/5RK1 b - -,-66
r2q1rk1/1p2bppp/p2pbn2/8/1n2P3/1NNP4/1B2BPPP/R2Q1RK1 w - -,88
r1b1k1nr/pp3ppp/2pqp3/3n4/3P4/5N2/PPP1QPPP/R3KB1R w KQkq -,-354
r1bq1rk1/pp1nbpp1/7p/2p1p3/P3P3/2N5/1PPBBPPP/R2Q1RK1 w - -,178
3R4/6p1/4p1P1/n1p1P1k1/8/4K1p1/8/8 w - -,62
r5k1/pB1b1ppp/3qpb2/8/3n1N2/6P1/4PP1P/2BQ1RK1 b - -,-235
5r2/6k1/8/6p1/1p2pb1P/1P5b/2P1BK2/6R1 w - -,-498
8/4k3/5b1p/6pP/8/1Bp2P2/4K3/8 b - -,-44
r1bq1rk1/pp1n2p1/3bpn1p/3p1p2/3P4/1N1Q1NP1/PP2PP1P/R1B2RKB b - -,-61
rn1qk2r/ppp1bppp/8/3pP3/3P4/2N2N2/PPQP2PP/R1B1K2R b KQkq -,401
r4r2/q4pkp/p2b4/3p4/P4P2/3QP2P/P5P1/3R1RK1 w - -,-67
2r3k1/pp3p1p/2B1b1p1/2n1p3/8/2N4P/PPP2PP1/2KR4 w - -,68
R7/5k2/3p1p2/2p1pbpP/8/2K1PP2/8/8 w - -,202
3r4/7k/7p/2B3p1/8/5nPP/8/2R4K w - -,27
rq2r1k1/pbp4p/1p4p1/3n1p2/PPQPnP2/5N2/1B3PBP/R4RK1 b - -,-123
r1bqk3/ppp2ppr/5p2/8/1P1N4/8/PP3PPP/R1BQK2R b KQq -,264
8/8/p5pk/2R5/1nP2p1P/4r3/4BK2/8 w - -,-70
r2q1rk1/p1p2p2/2p2bp1/4p2p/N3P3/2P2QPP/PP3P2/R3K2R w KQ -,49
8/5R1k/3P3p/8/2P4P/1p6/r7/4K3 b - -,53
